Crime_ID	Crime_Type	Crime_Severity	Datetime	Address	Neighborhood	City	State	Postal_Code	Latitude	Longitude	Police_Beat	Victim_Age	Victim_Gender	Ethnicity	Offender_Age	Offender_Gender	Ethnicity	Relationship	Weapon_Used	Location_Type	Reported_To_Police	Case_Status	Arrest_Made	Domestic_Case	Gang_Related
530	Vandalism	medium	01.01.2024 8:52	319 Chestnut Blvd	Old Town	Emerald City	WA	98109	47.6255	-122.3160	69				26	Female	Hispanic	Domestic Partner	Blunt Object	Home	Yes	Arrested	No	No	No
531	Fraud	high	29.04.2024 4:49	320 Aspen Ln	Midtown	Emerald City	WA	98110	47.6280	-122.3140	70				45	Male	Black	Stranger	None	Street	Yes	Open	Yes	No	Yes
532	Embezzlement	low	01.01.2024 5:51	321 Maple St	Central	River City	OH	43001	39.9612	-82.9988	71	29	Female	White	32	Male	White	Stranger	Knife	Home	Yes	Closed	Yes	Yes	No
533	Drug Possession	high	17.11.2024 8:10	322 Oak Ave	Riverside	River City	OH	43002	39.9630	-82.9960	72	33	Male	Asian	36	Male	Asian	Acquaintance	Gun	Business	Yes	Arrested	Yes	Yes	Yes
534	Drug Trafficking	medium	21.01.2024 10:04	323 Pine Rd	Uptown	River City	OH	43003	39.9655	-82.9940	73	28	Female	Black	31	Male	Black	Domestic Partner	None	Park	No	Open	Yes	No	No
535	Domestic Violence	low	15.05.2024 19:37	324 Cedar Blvd	East End	River City	OH	43004	39.9680	-82.9920	74	23	Male	White	26	Male	White	Stranger	Blunt Object	Street	Yes	Closed	No	No	No
536	Sexual Assault	medium	27.01.2024 0:41	325 Birch Ln	West Side	River City	OH	43005	39.9705	-82.9900	75				40	Male	Hispanic	Stranger	Knife	Home	Yes	Open	Yes	No	Yes
537	Rape	low	01.05.2024 18:08	326 Spruce St	Downtown	River City	OH	43006	39.9730	-82.9880	76	30	Male	Black	33	Male	Black	Acquaintance	None	Business	Yes	Arrested	No	Yes	No
538	Human Trafficking	medium	26.04.2024 4:37	327 Elm Ave	Harborview	River City	OH	43007	39.9755	-82.9860	77	25	Female	White	28	Male	White	Domestic Partner	Gun	Street	No	Open	Yes	No	No
539	Stalking	high	24.02.2024 6:46	328 Willow Rd	Greenfield	River City	OH	43008	39.9780	-82.9840	78				39	Male	Asian	Stranger	None	Park	Yes	Closed	No	No	Yes
540	Cybercrime	low	03.01.2024 14:23	329 Chestnut Blvd	Old Town	River City	OH	43009	39.9805	-82.9820	79	32	Female	Black	34	Male	Black	Stranger	Blunt Object	Home	Yes	Arrested	Yes	No	No
541	Identity Theft	high	17.02.2024 9:12	330 Aspen Ln	Midtown	River City	OH	43010	39.9830	-82.9800	80	26	Male	White	29	Male	White	Acquaintance	None	Street	Yes	Open	Yes	Yes	Yes
542	Bribery	medium	25.03.2024 22:45	331 Maple St	Central	Liberty Hills	GA	30301	33.7490	-84.3880	81	25	Female	White	27	Male	White	Stranger	Knife	Home	Yes	Closed	Yes	Yes	No
543	Extortion	low	08.04.2024 6:58	332 Oak Ave	Riverside	Liberty Hills	GA	30302	33.7510	-84.3860	82				27	Male	White	Stranger	Gun	Business	Yes	Arrested	Yes	No	No
544	Public Intoxication	medium	19.05.2024 18:30	333 Pine Rd	Uptown	Liberty Hills	GA	30303	33.7530	-84.3840	83	34	Male	Black	31	Male	Black	Acquaintance	None	Park	No	Open	No	No	Yes
545	Disorderly Conduct	low	02.06.2024 11:15	334 Cedar Blvd	East End	Liberty Hills	GA	30304	33.7550	-84.3820	84	19	Female	Hispanic	22	Male	Hispanic	Domestic Partner	Blunt Object	Street	Yes	Closed	Yes	No	No
546	Trespassing	medium	14.07.2024 23:50	335 Birch Ln	West Side	Liberty Hills	GA	30305	33.7570	-84.3800	85				24	Female	White	Stranger	Knife	Home	Yes	Open	No	Yes	No
547	Weapons Violation	high	28.08.2024 7:40	336 Spruce St	Downtown	Liberty Hills	GA	30306	33.7590	-84.3780	86				22	Female	White	Acquaintance	None	Business	Yes	Arrested	Yes	No	Yes
548	Hate Crime	low	11.10.2024 16:05	337 Elm Ave	Harborview	Liberty Hills	GA	30307	33.7610	-84.3760	87	42	Male	Asian	40	Male	Asian	Stranger	Gun	Street	No	Open	No	No	No
549	Gang-Related Crime	high	30.12.2024 20:22	338 Willow Rd	Greenfield	Liberty Hills	GA	30308	33.7630	-84.3740	88				22	Male	Black	Stranger	None	Park	Yes	Closed	Yes	No	Yes
550	Traffic Violations	medium	12.01.2024 8:42	339 Chestnut Blvd	Old Town	Liberty Hills	GA	30309	33.7650	-84.3720	89				24	Male	Hispanic	Acquaintance	Knife	Home	Yes	Arrested	Yes	Yes	No
551	DUI / DWI	low	03.03.2024 21:17	340 Aspen Ln	Midtown	Liberty Hills	GA	30310	33.7670	-84.3700	90				22	Female	White	Stranger	Gun	Street	Yes	Open	Yes	Yes	No
552	Animal Cruelty	medium	27.05.2024 14:05	341 Maple St	Central	Capitol City	CO	80201	39.7392	-104.9903	91	28	Female	White	35	Male	White	Stranger	None	Home	Yes	Closed	Yes	No	Yes
553	Illegal Gambling	low	15.07.2024 2:33	342 Oak Ave	Riverside	Capitol City	CO	80202	39.7410	-104.9880	92	31	Male	Black	29	Male	Hispanic	Acquaintance	Blunt Object	Business	Yes	Arrested	No	No	No
554	Counterfeiting	medium	09.09.2024 19:48	343 Pine Rd	Uptown	Capitol City	CO	80203	39.7430	-104.9860	93	22	Female	Hispanic	23	Female	Hispanic	Domestic Partner	Knife	Park	No	Open	Yes	No	No
555	Smuggling	high	21.10.2024 11:12	344 Cedar Blvd	East End	Capitol City	CO	80204	39.7450	-104.9840	94				29	Male	Asian	Stranger	None	Street	Yes	Closed	No	Yes	Yes
556	Prostitution	low	30.06.2024 23:55	345 Birch Ln	West Side	Capitol City	CO	80205	39.7470	-104.9820	95				23	Male	Black	Acquaintance	Gun	Home	Yes	Open	Yes	No	No
557	Blackmail	high	08.04.2024 16:28	346 Spruce St	Downtown	Capitol City	CO	80206	39.7490	-104.9800	96				33	Female	Hispanic	Stranger	None	Business	Yes	Arrested	No	No	Yes
558	Kidnapping for Ransom	medium	17.11.2024 5:03	347 Elm Ave	Harborview	Capitol City	CO	80207	39.7510	-104.9780	97	45	Male	White	50	Male	White	Stranger	Blunt Object	Street	No	Open	Yes	No	No
559	Cyberbullying	low	25.12.2024 13:47	348 Willow Rd	Greenfield	Capitol City	CO	80208	39.7530	-104.9760	98	37	Female	Black	36	Male	Black	Acquaintance	None	Park	Yes	Closed	Yes	Yes	No
560	Child Abuse	medium	05.01.2024 14:23	349 Chestnut Blvd	Old Town	Capitol City	CO	80209	39.7550	-104.9740	99	29	Male	Hispanic	32	Male	Hispanic	Stranger	Knife	Home	Yes	Arrested	Yes	Yes	Yes
561	Theft	low	17.02.2024 9:15	350 Aspen Ln	Midtown	Capitol City	CO	80210	39.7570	-104.9720	100				32	Male	Hispanic	Stranger	Knife	Street	Yes	Open	Yes	No	No
562	Burglary	medium	23.03.2024 21:42	408 Willow Rd	Greenfield	Liberty Town	NY	10018	40.7450	-74.0050	108	25	Female	White	27	Male	White	Stranger	None	Home	Yes	Closed	No	No	No
563	Robbery	high	01.04.2024 6:50	401 Maple St	Central	Liberty Town	NY	10011	40.7128	-74.0060	101	34	Male	Black	31	Male	Black	Acquaintance	Gun	Business	Yes	Arrested	Yes	No	Yes
564	Assault	low	15.05.2024 18:33	402 Oak Ave	Riverside	Liberty Town	NY	10012	40.7150	-74.0150	102	19	Female	Hispanic	22	Male	Hispanic	Stranger	None	Park	No	Open	No	Yes	No
565	Aggravated Assault	high	28.05.2024 3:21	403 Pine Rd	Uptown	Liberty Town	NY	10013	40.7200	-74.0005	103				25	Male	Asian	Domestic Partner	Blunt Object	Street	Yes	Closed	Yes	No	Yes
566	Homicide	medium	11.06.2024 12:11	404 Cedar Blvd	East End	Liberty Town	NY	10014	40.7255	-74.0120	104	28	Female	White	35	Male	Black	Stranger	None	Home	Yes	Open	No	No	No
567	Manslaughter	low	19.06.2024 23:08	405 Birch Ln	West Side	Liberty Town	NY	10015	40.7300	-74.0085	105	31	Male	Black	29	Male	Hispanic	Acquaintance	Knife	Business	Yes	Arrested	Yes	No	No
568	Kidnapping	medium	02.07.2024 7:44	406 Spruce St	Downtown	Liberty Town	NY	10016	40.7350	-74.0020	106	22	Female	Hispanic	23	Female	Hispanic	Domestic Partner	Gun	Street	No	Open	Yes	Yes	Yes
569	Arson	low	30.07.2024 16:55	407 Elm Ave	Harborview	Liberty Town	NY	10017	40.7405	-74.0105	107	45	Male	White	50	Male	White	Stranger	None	Park	Yes	Closed	Yes	Yes	No
570	Vandalism	medium	08.08.2024 10:27	408 Willow Rd	Greenfield	Liberty Town	NY	10018	40.7450	-74.0050	108	37	Female	Black	36	Male	Black	Acquaintance	Blunt Object	Home	Yes	Arrested	Yes	No	No
571	Fraud	high	21.08.2024 22:13	409 Chestnut Blvd	Old Town	Liberty Town	NY	10019	40.7500	-74.0075	109	29	Male	Hispanic	32	Male	Hispanic	Stranger	Knife	Street	Yes	Open	No	No	Yes
572	Embezzlement	low	04.09.2024 5:37	410 Aspen Ln	Midtown	Liberty Town	NY	10020	40.7550	-74.0030	110				24	Male	Black	Stranger	None	Home	Yes	Closed	Yes	No	No
573	Drug Possession	high	14.09.2024 14:49	411 Maple St	Central	Hill City	NJ	7011	40.7350	-74.1724	111				35	Male	Asian	Acquaintance	Gun	Business	Yes	Arrested	No	Yes	Yes
574	Drug Trafficking	medium	25.09.2024 19:31	412 Oak Ave	Riverside	Hill City	NJ	7012	40.7380	-74.1700	112	26	Female	Black	28	Female	Black	Domestic Partner	None	Park	No	Open	Yes	No	No
575	Domestic Violence	low	03.10.2024 1:22	413 Pine Rd	Uptown	Hill City	NJ	7013	40.7405	-74.1685	113	39	Male	White	42	Male	White	Stranger	Blunt Object	Street	Yes	Closed	No	No	No
576	Sexual Assault	medium	12.10.2024 13:55	414 Cedar Blvd	East End	Hill City	NJ	7014	40.7428	-74.1660	114	30	Female	Hispanic	31	Male	Hispanic	Stranger	None	Home	Yes	Open	Yes	No	Yes
577	Rape	low	27.10.2024 20:44	415 Birch Ln	West Side	Hill City	NJ	7015	40.7450	-74.1642	115				27	Male	Black	Acquaintance	Knife	Business	Yes	Arrested	Yes	Yes	No
578	Human Trafficking	medium	06.11.2024 9:12	416 Spruce St	Downtown	Hill City	NJ	7016	40.7475	-74.1620	116	27	Female	Asian	29	Male	Asian	Domestic Partner	Gun	Street	No	Open	Yes	Yes	No
579	Stalking	high	18.11.2024 23:58	417 Elm Ave	Harborview	Hill City	NJ	7017	40.7500	-74.1600	117	36	Male	White	40	Male	Black	Stranger	None	Park	Yes	Closed	Yes	No	Yes
580	Cybercrime	low	29.11.2024 7:46	418 Willow Rd	Greenfield	Hill City	NJ	7018	40.7525	-74.1580	118	23	Female	Hispanic	25	Female	Hispanic	Stranger	Blunt Object	Home	Yes	Arrested	No	No	No
581	Identity Theft	high	09.12.2024 15:29	419 Chestnut Blvd	Old Town	Hill City	NJ	7019	40.7550	-74.1560	119				44	Male	Black	Acquaintance	Knife	Street	Yes	Open	Yes	No	Yes
582	Bribery	medium	22.12.2024 21:18	420 Aspen Ln	Midtown	Hill City	NJ	7020	40.7575	-74.1540	120				30	Male	White	Stranger	None	Home	Yes	Closed	No	Yes	No
583	Extortion	low	31.12.2024 3:03	421 Maple St	Central	Oceanview	CA	90011	34.0522	-118.2437	121	32	Male	Asian	35	Male	Asian	Acquaintance	Gun	Business	Yes	Arrested	Yes	No	No
584	Public Intoxication	medium	13.01.2024 18:42	422 Oak Ave	Riverside	Oceanview	CA	90012	34.0550	-118.2400	122	25	Female	Black	27	Male	Black	Domestic Partner	None	Park	No	Open	No	No	Yes
585	Disorderly Conduct	low	26.01.2024 12:33	423 Pine Rd	Uptown	Oceanview	CA	90013	34.0575	-118.2380	123	38	Male	White	41	Male	White	Stranger	Knife	Street	Yes	Closed	Yes	No	No
586	Trespassing	medium	07.02.2024 8:44	424 Cedar Blvd	East End	Oceanview	CA	90014	34.0600	-118.2350	124				31	Male	Hispanic	Stranger	Gun	Home	Yes	Open	Yes	Yes	No
587	Weapons Violation	high	20.02.2024 19:55	425 Birch Ln	West Side	Oceanview	CA	90015	34.0625	-118.2320	125	22	Male	Black	24	Male	Black	Acquaintance	None	Business	Yes	Arrested	Yes	Yes	Yes
588	Hate Crime	low	04.03.2024 5:21	426 Spruce St	Downtown	Oceanview	CA	90016	34.0650	-118.2300	126	27	Female	White	30	Male	White	Domestic Partner	Blunt Object	Street	No	Open	Yes	No	No
589	Gang-Related Crime	high	15.03.2024 11:39	427 Elm Ave	Harborview	Oceanview	CA	90017	34.0675	-118.2270	127	35	Male	Asian	38	Male	Asian	Stranger	Knife	Park	Yes	Closed	No	No	Yes
590	Traffic Violations	medium	28.03.2024 22:50	428 Willow Rd	Greenfield	Oceanview	CA	90018	34.0700	-118.2250	128				33	Male	Black	Stranger	None	Home	Yes	Arrested	Yes	No	No
591	DUI / DWI	low	09.04.2024 6:17	429 Chestnut Blvd	Old Town	Oceanview	CA	90019	34.0725	-118.2220	129				28	Male	White	Acquaintance	Gun	Street	Yes	Open	No	Yes	No
592	Animal Cruelty	medium	23.04.2024 16:25	430 Aspen Ln	Midtown	Oceanview	CA	90020	34.0750	-118.2200	130	23	Female	Hispanic	25	Female	Hispanic	Domestic Partner	None	Home	Yes	Closed	Yes	No	Yes
593	Illegal Gambling	low	05.05.2024 1:11	431 Maple St	Central	Summit City	TX	75011	32.7767	-96.7970	131	40	Male	Black	42	Male	Black	Stranger	Blunt Object	Business	Yes	Arrested	No	No	No
594	Counterfeiting	medium	18.05.2024 14:48	432 Oak Ave	Riverside	Summit City	TX	75012	32.7790	-96.7950	132	29	Female	White	31	Male	White	Stranger	None	Park	No	Open	Yes	No	No
595	Smuggling	high	30.05.2024 20:37	433 Pine Rd	Uptown	Summit City	TX	75013	32.7815	-96.7930	133	34	Male	Asian	37	Male	Asian	Acquaintance	Knife	Street	Yes	Closed	Yes	Yes	Yes
596	Prostitution	low	11.06.2024 9:56	434 Cedar Blvd	East End	Summit City	TX	75014	32.7840	-96.7900	134	28	Female	Black	30	Male	Black	Domestic Partner	Knife	Home	Yes	Open	Yes	Yes	No
597	Blackmail	high	24.06.2024 23:41	435 Birch Ln	West Side	Summit City	TX	75015	32.7865	-96.7880	135				25	Male	White	Stranger	None	Business	Yes	Arrested	Yes	No	Yes
598	Kidnapping for Ransom	medium	06.07.2024 4:29	436 Spruce St	Downtown	Summit City	TX	75016	32.7890	-96.7860	136				40	Male	Hispanic	Stranger	Gun	Street	No	Open	No	No	No
599	Cyberbullying	low	19.07.2024 17:08	437 Elm Ave	Harborview	Summit City	TX	75017	32.7915	-96.7840	137				33	Male	Black	Acquaintance	None	Park	Yes	Closed	Yes	No	No
600	Child Abuse	medium	02.08.2024 12:55	438 Willow Rd	Greenfield	Summit City	TX	75018	32.7940	-96.7820	138	25	Female	White	27	Male	White	Domestic Partner	Blunt Object	Home	Yes	Arrested	No	Yes	Yes
601	Theft	low	15.08.2024 21:33	439 Chestnut Blvd	Old Town	Summit City	TX	75019	32.7965	-96.7800	139	36	Male	Asian	38	Male	Asian	Stranger	None	Street	Yes	Open	Yes	No	No
602	Burglary	medium	27.08.2024 7:44	440 Aspen Ln	Midtown	Summit City	TX	75020	32.7990	-96.7780	140	31	Female	Black	33	Male	Black	Stranger	Knife	Home	Yes	Closed	No	No	No
603	Robbery	high	10.09.2024 18:11	441 Maple St	Central	Sunshine City	FL	33111	25.7617	-80.1918	141	27	Male	White	30	Male	White	Acquaintance	Gun	Business	Yes	Arrested	Yes	No	Yes
604	Assault	low	22.09.2024 23:50	442 Oak Ave	Riverside	Sunshine City	FL	33112	25.7640	-80.1890	142				26	Female	Hispanic	Domestic Partner	None	Park	No	Open	Yes	Yes	No
605	Aggravated Assault	high	04.10.2024 5:18	443 Pine Rd	Uptown	Sunshine City	FL	33113	25.7665	-80.1860	143				45	Male	Black	Stranger	Blunt Object	Street	Yes	Closed	Yes	Yes	Yes
606	Homicide	medium	16.10.2024 13:39	444 Cedar Blvd	East End	Sunshine City	FL	33114	25.7690	-80.1830	144	29	Female	White	32	Male	White	Stranger	Knife	Home	Yes	Open	Yes	No	No
607	Manslaughter	low	29.10.2024 19:28	445 Birch Ln	West Side	Sunshine City	FL	33115	25.7715	-80.1800	145	33	Male	Asian	36	Male	Asian	Acquaintance	None	Business	Yes	Arrested	No	No	No
608	Kidnapping	medium	10.11.2024 8:14	446 Spruce St	Downtown	Sunshine City	FL	33116	25.7740	-80.1770	146	28	Female	Black	31	Male	Black	Domestic Partner	Gun	Street	No	Open	Yes	No	Yes
609	Arson	low	23.11.2024 22:45	447 Elm Ave	Harborview	Sunshine City	FL	33117	25.7765	-80.1740	147	23	Male	White	26	Male	White	Stranger	None	Park	Yes	Closed	No	Yes	No
610	Vandalism	medium	05.12.2024 3:33	448 Willow Rd	Greenfield	Sunshine City	FL	33118	25.7790	-80.1710	148				40	Male	Hispanic	Stranger	Blunt Object	Home	Yes	Arrested	Yes	No	No
611	Fraud	high	18.12.2024 15:22	449 Chestnut Blvd	Old Town	Sunshine City	FL	33119	25.7815	-80.1680	149	30	Male	Black	33	Male	Black	Acquaintance	None	Street	Yes	Open	No	No	Yes
612	Embezzlement	low	30.12.2024 20:59	450 Aspen Ln	Midtown	Sunshine City	FL	33120	25.7840	-80.1650	150	25	Female	White	28	Male	White	Domestic Partner	Knife	Home	Yes	Closed	Yes	No	No
613	Drug Possession	high	01.01.2024 8:52	123 Maple St	Downtown	Metropolis	NY	10001	40.7128	-74.0060	1				39	Male	Asian	Stranger	Gun	Business	Yes	Arrested	Yes	Yes	Yes
614	Drug Trafficking	medium	29.04.2024 4:49	456 Oak Ave	West Side	Metropolis	NY	10002	40.7150	-74.0150	2	32	Female	Black	34	Male	Black	Stranger	None	Park	No	Open	Yes	Yes	No
615	Domestic Violence	low	01.01.2024 5:51	789 Pine Rd	East End	Metropolis	NY	10003	40.7200	-74.0005	3	26	Male	White	29	Male	White	Acquaintance	Blunt Object	Street	Yes	Closed	Yes	No	No
616	Sexual Assault	medium	17.11.2024 8:10	321 Cedar Blvd	Uptown	Metropolis	NY	10004	40.7255	-74.0120	4	25	Female	White	27	Male	White	Stranger	Knife	Home	Yes	Open	No	No	Yes
617	Rape	low	21.01.2024 10:04	654 Birch Ln	Southside	Metropolis	NY	10005	40.7300	-74.0085	5				27	Male	White	Stranger	None	Business	Yes	Arrested	Yes	No	No
618	Human Trafficking	medium	15.05.2024 19:37	987 Spruce St	Midtown	Metropolis	NY	10006	40.7350	-74.0020	6	34	Male	Black	31	Male	Black	Acquaintance	Gun	Street	No	Open	No	Yes	No
619	Stalking	high	27.01.2024 0:41	246 Elm Ave	Riverside	Metropolis	NY	10007	40.7405	-74.0105	7	19	Female	Hispanic	22	Male	Hispanic	Domestic Partner	None	Park	Yes	Closed	Yes	No	Yes
620	Cybercrime	low	01.05.2024 18:08	135 Willow Rd	Old Town	Metropolis	NY	10008	40.7450	-74.0050	8				24	Female	White	Stranger	Knife	Home	Yes	Arrested	No	No	No
621	Identity Theft	high	26.04.2024 4:37	579 Chestnut Blvd	Harborview	Metropolis	NY	10009	40.7500	-74.0075	9				22	Female	White	Acquaintance	Gun	Street	Yes	Open	Yes	No	Yes
622	Bribery	medium	24.02.2024 6:46	864 Aspen Ln	Greenfield	Metropolis	NY	10010	40.7550	-74.0030	10	42	Male	Asian	40	Male	Asian	Stranger	None	Home	Yes	Closed	Yes	Yes	No
623	Extortion	low	19.03.2024 8:55	103 Pine Rd	East End	Metropolis	NY	10003	40.7200	-74.0005	3				22	Male	Black	Stranger	Blunt Object	Business	Yes	Arrested	Yes	Yes	No
624	Public Intoxication	medium	01.01.2024 8:52	101 Maple St	Downtown	Metropolis	NY	10001	40.7128	-74.0060	1				24	Male	Hispanic	Acquaintance	Knife	Park	No	Open	Yes	No	Yes
625	Disorderly Conduct	low	29.04.2024 4:49	102 Oak Ave	West Side	Metropolis	NY	10002	40.7150	-74.0150	2				22	Female	White	Stranger	None	Street	Yes	Closed	No	No	No
626	Trespassing	medium	01.01.2024 5:51	103 Pine Rd	East End	Metropolis	NY	10003	40.7200	-74.0005	3	28	Female	White	35	Male	White	Stranger	Gun	Home	Yes	Open	Yes	No	No
627	Weapons Violation	high	17.11.2024 8:10	104 Cedar Blvd	Uptown	Metropolis	NY	10004	40.7255	-74.0120	4	31	Male	Black	29	Male	Hispanic	Acquaintance	None	Business	Yes	Arrested	No	Yes	Yes
628	Hate Crime	low	21.01.2024 10:04	105 Birch Ln	Southside	Metropolis	NY	10005	40.7300	-74.0085	5	22	Female	Hispanic	23	Female	Hispanic	Domestic Partner	Blunt Object	Street	No	Open	Yes	No	No
629	Gang-Related Crime	high	15.05.2024 19:37	106 Spruce St	Midtown	Metropolis	NY	10006	40.7350	-74.0020	6				29	Male	Asian	Stranger	None	Park	Yes	Closed	No	No	Yes
630	Traffic Violations	medium	27.01.2024 0:41	107 Elm Ave	Riverside	Metropolis	NY	10007	40.7405	-74.0105	7				23	Male	Black	Acquaintance	Knife	Home	Yes	Arrested	Yes	No	No
631	DUI / DWI	low	01.05.2024 18:08	108 Willow Rd	Old Town	Metropolis	NY	10008	40.7450	-74.0050	8				33	Female	Hispanic	Stranger	Knife	Street	Yes	Open	Yes	Yes	No
632	Animal Cruelty	medium	01.01.2024 8:52	109 Chestnut Blvd	Harborview	Metropolis	NY	10009	40.7500	-74.0075	9	45	Male	White	50	Male	White	Stranger	None	Home	Yes	Closed	Yes	Yes	Yes
633	Illegal Gambling	low	29.04.2024 4:49	110 Aspen Ln	Greenfield	Metropolis	NY	10010	40.7550	-74.0030	10	37	Female	Black	36	Male	Black	Acquaintance	Gun	Business	Yes	Arrested	Yes	No	No
634	Counterfeiting	medium	01.01.2024 5:51	111 Maple St	Downtown	Metropolis	NY	10011	40.7129	-74.0061	1	29	Male	Hispanic	32	Male	Hispanic	Stranger	None	Park	No	Open	No	No	No
635	Smuggling	high	17.11.2024 8:10	112 Oak Ave	West Side	Metropolis	NY	10012	40.7151	-74.0151	2				32	Male	Hispanic	Stranger	Blunt Object	Street	Yes	Closed	Yes	No	Yes
636	Prostitution	low	21.01.2024 10:04	113 Pine Rd	East End	Metropolis	NY	10013	40.7201	-74.0006	3	25	Female	White	27	Male	White	Stranger	None	Home	Yes	Open	No	Yes	No
637	Blackmail	high	15.05.2024 19:37	114 Cedar Blvd	Uptown	Metropolis	NY	10014	40.7256	-74.0121	4	34	Male	Black	31	Male	Black	Acquaintance	Knife	Business	Yes	Arrested	Yes	No	Yes
638	Kidnapping for Ransom	medium	27.01.2024 0:41	115 Birch Ln	Southside	Metropolis	NY	10015	40.7301	-74.0086	5	19	Female	Hispanic	22	Male	Hispanic	Stranger	Gun	Street	No	Open	No	No	No
639	Cyberbullying	low	01.05.2024 18:08	116 Spruce St	Midtown	Metropolis	NY	10016	40.7351	-74.0021	6	25	Female	White	27	Male	White	Stranger	None	Park	Yes	Closed	Yes	No	No
640	Child Abuse	medium	26.04.2024 4:37	117 Elm Ave	Riverside	Metropolis	NY	10017	40.7406	-74.0106	7				27	Male	White	Stranger	Blunt Object	Home	Yes	Arrested	Yes	Yes	Yes
641	Theft	low	24.02.2024 6:46	118 Willow Rd	Old Town	Metropolis	NY	10018	40.7451	-74.0051	8	34	Male	Black	31	Male	Black	Acquaintance	Knife	Street	Yes	Open	Yes	Yes	No
642	Burglary	medium	03.01.2024 14:23	119 Chestnut Blvd	Harborview	Metropolis	NY	10019	40.7501	-74.0076	9	19	Female	Hispanic	22	Male	Hispanic	Domestic Partner	None	Home	Yes	Closed	Yes	No	No
643	Robbery	high	17.02.2024 9:12	120 Aspen Ln	Greenfield	Metropolis	NY	10020	40.7551	-74.0031	10				24	Female	White	Stranger	Gun	Business	Yes	Arrested	No	No	Yes
644	Assault	low	25.03.2024 22:45	121 Maple St	Downtown	Metropolis	NY	10021	40.7130	-74.0062	1				22	Female	White	Acquaintance	None	Park	No	Open	Yes	No	No
645	Aggravated Assault	high	08.04.2024 6:58	122 Oak Ave	West Side	Metropolis	NY	10022	40.7152	-74.0152	2	42	Male	Asian	40	Male	Asian	Stranger	Blunt Object	Street	Yes	Closed	No	Yes	Yes
646	Homicide	medium	19.05.2024 18:30	123 Pine Rd	East End	Metropolis	NY	10023	40.7202	-74.0007	3				22	Male	Black	Stranger	None	Home	Yes	Open	Yes	No	No
647	Manslaughter	low	02.06.2024 11:15	124 Cedar Blvd	Uptown	Metropolis	NY	10024	40.7257	-74.0122	4				24	Male	Hispanic	Acquaintance	Knife	Business	Yes	Arrested	No	No	No
648	Kidnapping	medium	14.07.2024 23:50	125 Birch Ln	Southside	Metropolis	NY	10025	40.7302	-74.0087	5				22	Female	White	Stranger	Gun	Street	No	Open	Yes	No	Yes
649	Arson	low	28.08.2024 7:40	126 Spruce St	Midtown	Metropolis	NY	10026	40.7352	-74.0022	6	28	Female	White	35	Male	White	Stranger	None	Park	Yes	Closed	Yes	Yes	No
650	Vandalism	medium	11.10.2024 16:05	127 Elm Ave	Riverside	Metropolis	NY	10027	40.7407	-74.0107	7	31	Male	Black	29	Male	Hispanic	Acquaintance	Blunt Object	Home	Yes	Arrested	Yes	Yes	No
651	Fraud	high	30.12.2024 20:22	128 Willow Rd	Old Town	Metropolis	NY	10028	40.7452	-74.0052	8	22	Female	Hispanic	23	Female	Hispanic	Domestic Partner	Knife	Street	Yes	Open	Yes	No	Yes
652	Embezzlement	low	12.01.2024 8:42	129 Chestnut Blvd	Harborview	Metropolis	NY	10029	40.7502	-74.0077	9				29	Male	Asian	Stranger	None	Home	Yes	Closed	No	No	No
653	Drug Possession	high	03.03.2024 21:17	130 Aspen Ln	Greenfield	Metropolis	NY	10030	40.7552	-74.0032	10				23	Male	Black	Acquaintance	Gun	Business	Yes	Arrested	Yes	No	Yes
654	Drug Trafficking	medium	27.05.2024 14:05	131 Maple St	Downtown	Metropolis	NY	10031	40.7131	-74.0063	1				33	Female	Hispanic	Stranger	None	Park	No	Open	No	Yes	No
655	Domestic Violence	low	15.07.2024 2:33	132 Oak Ave	West Side	Metropolis	NY	10032	40.7153	-74.0153	2	45	Male	White	50	Male	White	Stranger	Knife	Street	Yes	Closed	Yes	No	No
656	Sexual Assault	medium	09.09.2024 19:48	133 Pine Rd	East End	Metropolis	NY	10033	40.7203	-74.0008	3	37	Female	Black	36	Male	Black	Acquaintance	Gun	Home	Yes	Open	No	No	Yes
657	Rape	low	21.10.2024 11:12	134 Cedar Blvd	Uptown	Metropolis	NY	10034	40.7258	-74.0123	4	29	Male	Hispanic	32	Male	Hispanic	Stranger	None	Business	Yes	Arrested	Yes	No	No
658	Human Trafficking	medium	30.06.2024 23:55	135 Birch Ln	Southside	Metropolis	NY	10035	40.7303	-74.0088	5				32	Male	Hispanic	Stranger	Blunt Object	Street	No	Open	Yes	Yes	No
659	Stalking	high	08.04.2024 16:28	136 Spruce St	Midtown	Metropolis	NY	10036	40.7353	-74.0023	6	25	Female	White	27	Male	White	Stranger	Knife	Park	Yes	Closed	Yes	Yes	Yes
660	Cybercrime	low	17.11.2024 5:03	137 Elm Ave	Riverside	Metropolis	NY	10037	40.7408	-74.0108	7	34	Male	Black	31	Male	Black	Acquaintance	None	Home	Yes	Arrested	Yes	No	No
661	Identity Theft	high	25.12.2024 13:47	138 Willow Rd	Old Town	Metropolis	NY	10038	40.7453	-74.0053	8	19	Female	Hispanic	22	Male	Hispanic	Stranger	Gun	Street	Yes	Open	No	No	Yes
